ID,FullName,Location,Latitude,Longitude,Elevation,StartDate,LR,SurfaceType,TopographyType,RuralUrban,Comment,TimeResolution
ALE,Alert,"Canada, Lincoln Sea",82.49,-62.42,127.0,2004-08-16,LR0300,tundra,hilly,rural,Closed,1
ASP,Alice Springs,"Australia, Northern Territory",-23.798000000000002,133.888,547.0,1995-01-01,,grass,flat,rural,,1
BAR,Barrow,"USA , Alaska",71.32300000000001,-156.607,8.0,1992-01-01,LR0300,tundra,flat,rural,,1
BER,Bermuda,"USA, Bermuda",32.266999999999996,-64.667,8.0,1992-01-01,,"water, ocean",flat,rural,,1
BIL,Billings,"USA, Oklahoma",36.605,-97.516,317.0,1993-06-01,,grass,flat,rural,,1
BON,Bondville,"USA, Illinois",40.0667,-88.3667,213.0,1995-01-01,LR3010,grass,flat,rural,,1
BOS,Boulder,"USA, Colorado",40.125,-105.23700000000001,1689.0,1995-07-01,LR3010,grass,hilly,rural,,1
BOU,Boulder,"USA, Colorado",40.05,-105.007,1577.0,1992-01-01,LR3300,grass,flat,rural,Closed in July 2016,1
BRB,Brasilia,"Brazil, Brasilia City",-15.600999999999999,-47.713,1023.0,2006-02-01,,"concrete, since 2015: shrub",flat,rural,,1
BUD,Budapest-Lorinc,"Hungary, Budapest",47.4291,19.1822,139.1,2019-06-01,LR0300,grass,flat,rural,pest-Lorinc,1
CAB,Cabauw,Netherlands,51.9711,4.9267,0.0,2005-12-01,LR0300,grass,flat,rural,,1
CAM,Camborne,United Kingdom,50.2167,-5.3167,88.0,2001-01-01,,grass,flat,rural,,1
CAP,Cape Baranova,Russia,79.27,101.75,,2016-01-01,LR0300,tundra,flat,rural,,1
CAR,Carpentras,France,44.083,5.059,100.0,1996-08-01,,cultivated,hilly,rural,Closed in Dec 2018,1
CLH,Chesapeake Light,"USA, North Atlantic Ocean",36.905,-75.71300000000001,37.0,2000-06-01,LR0300,"water, ocean",flat,rural,"Closed in Dec 2016, structural issues",1
