ID,FullName,UID,Latitude,Longitude,Elevation,StartDate,EndDate,Timezone,TimeResolution
LEA,"Learmonth (Airport), W,A",5007,-22.24183,114.0957,6,2020-12-31,,8,1
BRO,"Broome (Airport), W,A",3003,-17.94883,122.234,9,2020-12-31,,8,1
DAR,"Darwin (New), N,T",14015,-12.42416,130.8925,32,2020-12-31,,"9,5",1
TEN,"Tennant Creek, N,T",15135,-19.6435,134.1818,375,2006-05-31,2006-07-01,"9,5",1
ALI,"Alice Springs, N,T",15590,-23.79767,133.888,547,2020-12-31,,"9,5",1
ROC,"Rockhampton, Qld",39083,-23.377,150.4765,12,2020-12-31,,10,1
WAG,"Wagga Wagga, N,S,W",72150,-35.15983,147.4562,213,2020-11-30,,10,1
TUL,"Tullamarine (Melbourne Airport), Vic",86282,-37.66722,144.83,132,2020-12-31,,10,1
CAP,"Cape Grim, Tas",91148,-40.67216,144.6883,92.5,2020-12-31,,10,1
GAM,"Mt, Gambier, S,A",26021,-37.74866,140.7723,64,2006-02-28,2006-04-01,"10,5",1
MIL,"Mildura, Vic",76031,-34.23717,142.0855,52,2013-06-30,2013-08-01,11,1
ADE,"Adelaide, S,A",23034,-34.95164,138.52131,7,2020-10-31,2020-12-01,"9,5",1
KAL,"Kalgoorlie, W,A",12038,-30.79083,121.4613,368,2021-03-31,,8,1
GER,"Geraldton, W,A",8315,-28.8047,114.69883,30,2020-12-31,,8,1
GRC,"Geraldton Comparison, W,A",8051,-28.8,114.7,33,2006-05-31,2006-07-01,8,1
COC,Cocos Island,200284,-12.19283,96.83533,6,2021-03-31,,"6,5",1
WOO,Woomera Aerodrome,16001,-31.16,136.81,167,2013-06-30,2013-08-01,"10,5",1
LON,Longreach Areo,36031,-23.44,144.38,192,2013-12-31,2014-02-01,10,1
TOW,Townville Areo,32040,-19.25,146.77,4,2020-12-31,,10,1
COB,Cobar MO,48027,-31.48,145.83,260,2014-02-28,2014-04-01,11,1
CAI,Cairns Areo,31011,-16.87,145.75,2,2004-02-29,2004-04-01,10,1
