ID,WMOID,FullName,Latitude,Longitude,Elevation,Timezone,Address,City,Country,SurfaceType,TopographyType,RuralUrban,Climate,OperationStatus,TimeResolution,ContactName,Institute,Url,CommissionDate,DecommissionDate,StartDate,EndDate,Comment
ABS,,Abashiri,44.0178,144.2797,38.0,,,,Japan,asphalt,flat,rural,,,1,OHTAKE Jun (rrc-jma@met.kishou.go.jp),,,,,2021-03-01,,
ALE,,Alert,82.49,-62.42,127.0,,,,"Canada, Lincoln Sea",tundra,hilly,rural,,,1,Christopher Cox (christopher.j.cox@noaa.gov),NOAA,,,,2004-08-01,,Closed
ASP,,Alice Springs,-23.798000000000002,133.888,547.0,,,,"Australia, Northern Territory",grass,flat,rural,,,1,Matt Tully (m.tully@bom.gov.au),ABOM,,,,1995-01-01,,
BAR,,Barrow,71.32300000000001,-156.607,8.0,,,,"USA , Alaska",tundra,flat,rural,,,1,Laura Riihimaki (laura.riihimaki@noaa.gov),NOAA,,,,1992-01-01,,
BER,,Bermuda,32.266999999999996,-64.667,8.0,,,,"USA, Bermuda","water, ocean",flat,rural,,,1,Laura Riihimaki (laura.riihimaki@noaa.gov),NOAA,,,,1992-01-01,,
BIL,,Billings,36.605,-97.516,317.0,,,,"USA, Oklahoma",grass,flat,rural,,,1,Laura Riihimaki (laura.riihimaki@noaa.gov),NOAA,,,,1993-06-01,,
BON,,Bondville,40.0667,-88.3667,213.0,,,,"USA, Illinois",grass,flat,rural,,,1,John A. Augustine (john.a.augustine@noaa.gov),NOAA,,,,1995-01-01,,
BOS,,Boulder,40.125,-105.23700000000001,1689.0,,,,"USA, Colorado",grass,hilly,rural,,,1,John A. Augustine (john.a.augustine@noaa.gov),NOAA,,,,1995-07-01,,
BOU,,Boulder,40.05,-105.007,1577.0,,,,"USA, Colorado",grass,flat,rural,,,1,David Longenecker (David.U.Longenecker@noaa.gov),NOAA,,,2016-07,1992-01-01,,Closed in July 2016
BRB,,Brasilia,-15.600999999999999,-47.713,1023.0,,,,"Brazil, Brasilia City","concrete, since 2015: shrub",flat,rural,,,1,Enio Bueno Pereira (enio.pereira@inpe.br),INPE,,,,2006-02-01,,
BUD,,Budapest-Lorinc,47.4291,19.1822,139.1,,,,"Hungary, Budapest",grass,flat,rural,,,1,Dénes Fekete (fekete.d@met.hu), ,,,,2019-06-01,,pest-Lorinc
CAB,,Cabauw,51.9711,4.9267,0.0,,,,Netherlands,grass,flat,rural,,,1,Wouter Knap (knap@knmi.nl),KNMI,,,,2005-02-01,,
CAM,,Camborne,50.2167,-5.3167,88.0,,,,United Kingdom,grass,flat,rural,,,1,Grant Hodgetts (grant.hodgetts@metoffice.gov.uk),metoffice,,,,2001-01-01,,
