ID,UID,WMOID,Name,Latitude,Longitude,Elevation,Timezone,Address,City,Region,Country,SurfaceType,TopographyType,RuralUrban,Climate,OperationStatus,TimeResolution,ContactName,Institute,Url,CommissionDate,DecommissionDate,StartDate,EndDate,Comment
WEND,tng00001,,Wendlingen,48.667,9.399,276,,"101, Ulmer Strasse","Gemeindeverwaltungsverband Wendlingen am Neckar, Wendlingen am Neckar",Baden-Wurttemberg,Germany,,,,,,1,Elke Lorenz,Fraunhofer ISE,,,,,,
STUT,tng00002,,Stuttgart,48.83,9.196,294,,Tapachstrasse,,Baden-Wurttemberg,Germany,,,,,,1,Elke Lorenz,Fraunhofer ISE,,,,,,
LEON,tng00003,,St. Leon-Rot,49.245,8.641,108,,"2, SAP-Allee",St. Leon-Rot,Baden-Wurttemberg,Germany,,,,,,1,Elke Lorenz,Fraunhofer ISE,,,,,,
KETS,tng00004,,Ketsch,49.356,8.532,102,,Karlsruher Strasse,Ketsch,Baden-Wurttemberg,Germany,,,,,,1,Elke Lorenz,Fraunhofer ISE,,,,,,
FREI,tng00005,,Freiburg,48.009,7.835,256,,Elsasser Strasse,Freiburg im Breisgau,Baden-Wurttemberg,Germany,,,,,,1,Elke Lorenz,Fraunhofer ISE,,,,,,
MAHL,tng00006,,Mahlberg,48.28,7.787,170,,Rotackerstrasse,"Verwaltungsgemeinschaft Ettenheim, Orschweier",Baden-Wurttemberg,Germany,,,,,,1,Elke Lorenz,Fraunhofer ISE,,,,,,
MURR,tng00007,,Murr,48.968,9.263,212,,"5, Lehmgrube","Gemeindeverwaltungsverband Steinheim-Murr, Murr",Baden-Wurttemberg,Germany,,,,,,1,Elke Lorenz,Fraunhofer ISE,,,,,,
FUNF,tng00008,,Fünfstetten,48.837,10.773,504,,,"Wemding (VGem), Nussbuhl",Bavaria,Germany,,,,,,1,Elke Lorenz,Fraunhofer ISE,,,,,,
FREU,tng00009,,Freudenstadt,48.459,8.425,669,,"5, Glashuttenweg","Vereinbarte Verwaltungsgemeinschaft Freudenstadt, Freudenstadt, Wittlensweiler",Baden-Wurttemberg,Germany,,,,,,1,Elke Lorenz,Fraunhofer ISE,,,,,,
KARL,tng00010,,Karlsruhe,49.008,8.344,115,,"2, Pfannkuchstrasse",Karlsruhe,Baden-Wurttemberg,Germany,,,,,,1,Elke Lorenz,Fraunhofer ISE,,,,,,
OBER,tng00011,,Oberndorf,48.298,8.552,667,,"14, Steinbeisstrasse","Verwaltungsgemeinschaft Oberndorf am Neckar, Oberndorf am Neckar",Baden-Wurttemberg,Germany,,,,,,1,Elke Lorenz,Fraunhofer ISE,,,,,,
