ID,WMOID,FullName,Latitude,Longitude,Elevation,Timezone,Address,City,Country,SurfaceType,TopographyType,RuralUrban,Climate,OperationStatus,TimeResolution,ContactName,Institute,Url,CommissionDate,DecommissionDate,StartDate,EndDate,Comment
BMS,,NREL Solar Radiation Research Laboratory - Baseline Measurement System,39.742,-105.18,1828.8,UTC+00:00,,,,,,,,,,,,,1981-07-15,,,,
LMU,,SOLRMAP Loyola Marymount University (RSR),33.966674,-118.4226,27,UTC-08:00,,,,,,,,,,,,,2010-04-06,2016-05-05,,,
NWTC,,NREL Flatirons Campus (M2),39.9106,-105.2347,1855,UTC-07:00,,,,,,,,,,,,,1996-09-23,,,,
STAC,,Solar Technology Acceleration Center (SolarTAC),39.75685,-104.62025,1674,UTC-07:00,,,,,,,,,,,,,2011-02-11,,,,
UAT,,SOLRMAP University of Arizona (OASIS),32.22969,-110.95534,786,UTC-07:00,,,,,,,,,,,,,2010-11-03,,,,
ULL,,University of Louisiana at Lafayette,30.20506,-92.39793,5,UTC-06:00,,,,,,,,,,,,,2018-08-28,,,,
UOSMRL,,University of Oregon (SRML),44.0467,-123.0743,133.8,UTC-08:00,,,,,,,,,,,,,2016-08-19,,,,
VTIF,,NREL Vehicle Testing and Integration Facility RSR,39.74211,-105.17572,1793,UTC-07:00,,,,,,,,,,,,,2012-04-01,2020-07-18,,,
SSSCAT,,SOLRMAP Southwest Solar Research Park,33.41663,-112.01875,347,UTC-07:00,,,,,,,,,,,,,2010-09-27,2013-08-02,,,
LANAI,,SOLRMAP La Ola Lanai (RSR),20.76685,-156.92291,381,UTC-10:00,,,,,,,,,,,,,2009-07-22,2012-12-14,,,
OAHURS1M,,SOLRMAP Kalaeloa Oahu (RSR),21.31347,-158.08257,11,UTC-10:00,,,,,,,,,,,,,2010-03-16,2011-11-01,,,
TSESC,,SOLRMAP Tri-State Escalante (RSR),35.41861,-108.08828,2106,UTC-07:00,,,,,,,,,,,,,2010-11-03,2013-12-10,,,
USEPCC,,SOLRMAP Utah Geological Survey - State Energy Program (Cedar City),37.69601,-113.16483,1675,UTC-07:00,,,,,,,,,,,,,2010-07-13,2013-09-18,,,
USEPMF,,SOLRMAP Utah Geological Survey - State Energy Program (Milford),38.41431,-113.02967,1550,UTC-07:00,,,,,,,,,,,,,2010-07-14,2013-09-18,,,
SS2,,SOLRMAP Sun Spot Two - Swink (RSR),38.01221,-103.61696,1255,UTC-07:00,,,,,,,,,,,,,2010-11-10,2015-02-10,,,
SS1,,Sun Spot One - San Luis Valley (RSR),37.561,-106.0864,2335,UTC-08:00,,,,,,,,,,,,,2008-06-10,2010-11-08,,,
NPC,,Nevada Power Clark Station,36.08581,-115.05189,523,UTC-08:00,,,,,,,,,,,,,2006-03-27,2015-03-03,,,
UNLV,,University of Nevada - Las Vegas,36.107,-115.1425,615,UTC-08:00,,,,,,,,,,,,,2006-03-18,,,,
LRSS,,Lowry Range Solar Station (RSR),39.60701,-104.58017,1860,UTC-07:00,,,,,,,,,,,,,2008-05-30,2014-01-30,,,
XECS,,Xcel Energy Comanche Station (RSR),38.2098,-104.5724,1490,UTC-07:00,,,,,,,,,,,,,2007-06-20,2011-06-16,,,
ORNL,,Oak Ridge National Laboratory (RSR),35.92996,-84.30952,245,UTC-05:00,,,,,,,,,,,,,2007-09-12,2019-11-20,,,
USVIBOVB,,US Virgin Islands St. Thomas Bovoni,18.31,-64.88,49,UTC-04:00,,,,,,,,,,,,,2012-12-13,2014-08-25,,,
USVILONA,,US Virgin Islands St. Croix Longford,17.71,-64.69,29,UTC-04:00,,,,,,,,,,,,,2012-12-13,2013-12-20,,,
NELHA,,Natural Energy Laboratory of Hawaii Authority (NELHA),19.728144,-156.058936,4,UTC-10:00,,,,,,,,,,,,,2012-11-01,,,,
SMUDA,,Sacramento Municipal Utility District (Anatolia),38.54586,-121.24029,51,UTC-08:00,,,,,,,,,,,,,2009-02-03,2015-04-23,,,
UTPASRL,,University of Texas Panamerican Solar Radiation Lab,26.3059,-98.1716,34.4,UTC-06:00,,,,,,,,,,,,,2011-09-01,,,,
HSU,,Humboldt State University (SoRMS),40.876,-124.08,36,UTC-08:00,,,,,,,,,,,,,2007-05-02,,,,
EC,,Elizabeth City State University,36.282,-76.216,26,UTC-05:00,,,,,,,,,,,,,1985-09-25,2014-11-19,,,
BS,,Bluefield State College,37.265,-81.24,803,UTC-05:00,,,,,,,,,,,,,1985-11-06,2015-04-13,,,
SPMD,,South Park Mountain Data,39.27278,-105.62472,2944,UTC-07:00,,,,,,,,,,,,,1997-03-28,2021-04-15,,,
SCI,,San Clemente Island Data,32.9,-118.4833,223,UTC-08:00,,,,,,,,,,,,,2000-01-01,2005-07-17,,,
LLLJP,,Lamar Low-Level Jet Project,37.66835,-102.66385,1387,UTC-07:00,,,,,,,,,,,,,2001-10-02,2005-05-22,,,
RCS,,ARM Radiometer Characterization System (RCS),36.606,-97.486,320,UTC-08:00,,,,,,,,,,,,,2003-01-13,2004-06-25,,,
