UID,WMOID,FullName,ID,Latitude,Longitude,Elevation,Timezone,Address,City,Country,SurfaceType,TopographyType,RuralUrban,KoeppenGeigerClimate,StationType,OperationStatus,DiffusionStatus,TimeResolution,DataBegin,DataEnd,ContactName,Institute,Url,CommissionDate,DecommissionDate,Comment
5007.0,94302.0,"Learmonth (Airport), W,A,",LEA,,,6.0,UTC+08:00,,,,,,,,,,,1.0,35277.0,,,Australian Bureau of Meteorology,,,,
3003.0,94203.0,"Broome (Airport), W,A,",BRO,,,9.0,UTC+08:00,,,,,,,,,,,1.0,35277.0,,,Australian Bureau of Meteorology,,,,
14015.0,94120.0,"Darwin (New), N,T,",DAR,,,32.0,UTC+09:30,,,,,,,,,,,1.0,34212.0,,,Australian Bureau of Meteorology,,,,
15135.0,94238.0,"Tennant Creek, N,T,",TEN,,,375.0,UTC+09:30,,,,,,,,,,,1.0,35095.0,38899.0,,Australian Bureau of Meteorology,,,,
15590.0,94326.0,"Alice Springs, N,T,",ALI,,,547.0,UTC+09:30,,,,,,,,,,,1.0,34212.0,,,Australian Bureau of Meteorology,,,,
39083.0,94374.0,"Rockhampton, Qld,",ROC,,,12.0,UTC+10:00,,,,,,,,,,,1.0,35095.0,,,Australian Bureau of Meteorology,,,,
72150.0,94910.0,"Wagga Wagga, N,S,W,",WAG,,,213.0,UTC+10:00,,,,,,,,,,,1.0,35489.0,,,Australian Bureau of Meteorology,,,,
86282.0,94866.0,"Tullamarine (Melbourne Airport), Vic,",TUL,,,132.0,UTC+10:00,,,,,,,,,,,1.0,36280.0,,,Australian Bureau of Meteorology,,,,
91148.0,94954.0,"Cape Grim, Tas,",CAP,,,92.5,UTC+10:00,,,,,,,,,,,1.0,35826.0,,,Australian Bureau of Meteorology,,,,
26021.0,94821.0,"Mt, Gambier, S,A,",GAM,,,64.0,UTC+10:30,,,,,,,,,,,1.0,34181.0,38808.0,,Australian Bureau of Meteorology,,,,
76031.0,94693.0,"Mildura, Vic,",MIL,,,52.0,UTC+11:00,,,,,,,,,,,1.0,35155.0,41487.0,,Australian Bureau of Meteorology,,,,
23034.0,94672.0,"Adelaide, S,A,",ADE,,,7.0,UTC+09:30,,,,,,,,,,,1.0,34607.0,44166.0,,Australian Bureau of Meteorology,,,,
12038.0,94367.0,"Kalgoorlie, W,A,",KAL,,,368.0,UTC+08:00,,,,,,,,,,,1.0,35915.0,,,Australian Bureau of Meteorology,,,,
8315.0,94403.0,"Geraldton, W,A,",GER,,,30.0,UTC+08:00,,,,,,,,,,,1.0,40939.0,,,Australian Bureau of Meteorology,,,,
8051.0,-1.0,"Geraldton Comparison, W,A,",GRC,,,33.0,UTC+08:00,,,,,,,,,,,1.0,35277.0,38899.0,,Australian Bureau of Meteorology,,,,
200284.0,96996.0,Cocos Island,COC,,,6.0,UTC+06:30,,,,,,,,,,,1.0,38230.0,,,Australian Bureau of Meteorology,,,,
16001.0,-1.0,Woomera Aerodrome,WOO,,,167.0,UTC+10:30,,,,,,,,,,,1.0,40999.0,41487.0,,Australian Bureau of Meteorology,,,,
36031.0,-1.0,Longreach Areo,LON,,,192.0,UTC+10:00,,,,,,,,,,,1.0,41090.0,41671.0,,Australian Bureau of Meteorology,,,,
32040.0,-1.0,Townville Areo,TOW,,,4.0,UTC+10:00,,,,,,,,,,,1.0,41152.0,,,Australian Bureau of Meteorology,,,,
48027.0,-1.0,Cobar MO,COB,,,260.0,UTC+11:00,,,,,,,,,,,1.0,41029.0,41730.0,,Australian Bureau of Meteorology,,,,
31011.0,-1.0,Cairns Areo,CAI,,,2.0,UTC+10:00,,,,,,,,,,,1.0,35520.0,38078.0,,Australian Bureau of Meteorology,,,,
