ID,WMOID,FullName,ShortName,Latitude,Longitude,Elevation,Timezone,Address,City,Country,SurfaceType,TopographyType,RuralUrban,KoeppenGeigerClimate,StationType,OperationStatus,DiffusionStatus,TimeResolution,StartDate,EndDate,ContactName,Institute,Url,CommissionDate,DecommissionDate,Comment
ABS,,Abashiri,ABS,,,38.0,,,,Japan,asphalt,flat,rural,,,,,1.0,44256.0,,OHTAKE Jun (rrc-jma@met.kishou.go.jp),,,,,
ALE,,Alert,ALE,,,127.0,,,,"Canada, Lincoln Sea",tundra,hilly,rural,,,,,1.0,38200.0,,Christopher Cox (christopher.j.cox@noaa.gov),NOAA,,,,Closed
ASP,,Alice Springs,ASP,,,547.0,,,,"Australia, Northern Territory",grass,flat,rural,,,,,1.0,34700.0,,Matt Tully (m.tully@bom.gov.au),ABOM,,,,
BAR,,Barrow,BAR,,,8.0,,,,"USA , Alaska",tundra,flat,rural,,,,,1.0,33604.0,,Laura Riihimaki (laura.riihimaki@noaa.gov),NOAA,,,,
BER,,Bermuda,BER,,,8.0,,,,"USA, Bermuda","water, ocean",flat,rural,,,,,1.0,33604.0,,Laura Riihimaki (laura.riihimaki@noaa.gov),NOAA,,,,
BIL,,Billings,BIL,,,317.0,,,,"USA, Oklahoma",grass,flat,rural,,,,,1.0,34121.0,,Laura Riihimaki (laura.riihimaki@noaa.gov),NOAA,,,,
BON,,Bondville,BON,,,213.0,,,,"USA, Illinois",grass,flat,rural,,,,,1.0,34700.0,,John A. Augustine (john.a.augustine@noaa.gov),NOAA,,,,
BOS,,Boulder,BOS,,,1689.0,,,,"USA, Colorado",grass,hilly,rural,,,,,1.0,34881.0,,John A. Augustine (john.a.augustine@noaa.gov),NOAA,,,,
BOU,,Boulder,BOU,,,1577.0,,,,"USA, Colorado",grass,flat,rural,,,,,1.0,33604.0,,David Longenecker (David.U.Longenecker@noaa.gov),NOAA,,,2016-07,Closed in July 2016
BRB,,Brasilia,BRB,,,1023.0,,,,"Brazil, Brasilia City","concrete, since 2015: shrub",flat,rural,,,,,1.0,38749.0,,Enio Bueno Pereira (enio.pereira@inpe.br),INPE,,,,
BUD,,Budapest-Lorinc,BUD,,,139.1,,,,"Hungary, Budapest",grass,flat,rural,,,,,1.0,43617.0,,Dénes Fekete (fekete.d@met.hu),,,,,pest-Lorinc
CAB,,Cabauw,CAB,,,0.0,,,,Netherlands,grass,flat,rural,,,,,1.0,38384.0,,Wouter Knap (knap@knmi.nl),KNMI,,,,
CAM,,Camborne,CAM,,,88.0,,,,United Kingdom,grass,flat,rural,,,,,1.0,36892.0,,Grant Hodgetts (grant.hodgetts@metoffice.gov.uk),metoffice,,,,
CAP,,Cape Baranova,CAP,,,,,,,Russia,tundra,flat,rural,,,,,1.0,42370.0,,Olga Sidorova (olsid@aari.ru),,,,,
