ID,WMOID,FullName,ShortName,Latitude,Longitude,Elevation,Timezone,Address,City,Country,SurfaceType,TopographyType,RuralUrban,KoeppenGeigerClimate,StationType,OperationStatus,DiffusionStatus,TimeResolution,StartDate,EndDate,ContactName,Institute,Url,CommissionDate,DecommissionDate,Comment
TNG00001,,Wendlingen,Wendlingen,,,276.0,,,Wendlingen,Germany,,,,,,,,1.0,,,Elke Lorenz,Fraunhofer ISE,,,,
TNG00002,,Stuttgart,Stuttgart,,,294.0,,,Stuttgart,Germany,,,,,,,,1.0,,,Elke Lorenz,Fraunhofer ISE,,,,
TNG00003,,St. Leon-Rot,St. Leon-Rot,,,108.0,,,St. Leon-Rot,Germany,,,,,,,,1.0,,,Elke Lorenz,Fraunhofer ISE,,,,
TNG00004,,Ketsch,Ketsch,,,102.0,,,Ketsch,Germany,,,,,,,,1.0,,,Elke Lorenz,Fraunhofer ISE,,,,
TNG00005,,Freiburg,Freiburg,,,256.0,,,Freiburg,Germany,,,,,,,,1.0,,,Elke Lorenz,Fraunhofer ISE,,,,
TNG00006,,Mahlberg,Mahlberg,,,170.0,,,Mahlberg,Germany,,,,,,,,1.0,,,Elke Lorenz,Fraunhofer ISE,,,,
TNG00007,,Murr,Murr,,,212.0,,,Murr,Germany,,,,,,,,1.0,,,Elke Lorenz,Fraunhofer ISE,,,,
TNG00008,,Fünfstetten,Fünfstetten,,,504.0,,,Fünfstetten,Germany,,,,,,,,1.0,,,Elke Lorenz,Fraunhofer ISE,,,,
TNG00009,,Freudenstadt,Freudenstadt,,,669.0,,,Freudenstadt,Germany,,,,,,,,1.0,,,Elke Lorenz,Fraunhofer ISE,,,,
TNG00010,,Karlsruhe,Karlsruhe,,,115.0,,,Karlsruhe,Germany,,,,,,,,1.0,,,Elke Lorenz,Fraunhofer ISE,,,,
TNG00011,,Oberndorf,Oberndorf,,,667.0,,,Oberndorf,Germany,,,,,,,,1.0,,,Elke Lorenz,Fraunhofer ISE,,,,
TNG00012,,Ulm,Ulm,,,552.0,,,Ulm,Germany,,,,,,,,1.0,,,Elke Lorenz,Fraunhofer ISE,,,,
TNG00013,,Bad Rappenau,Bad Rappenau,,,288.0,,,Bad Rappenau,Germany,,,,,,,,1.0,,,Elke Lorenz,Fraunhofer ISE,,,,
TNG00014,,Offenburg,Offenburg,,,151.0,,,Offenburg,Germany,,,,,,,,1.0,,,Elke Lorenz,Fraunhofer ISE,,,,
TNG00015,,Grünstadt,Grünstadt,,,157.0,,,Grünstadt,Germany,,,,,,,,1.0,,,Elke Lorenz,Fraunhofer ISE,,,,
TNG00016,,Löffingen,Löffingen,,,745.0,,,Löffingen,Germany,,,,,,,,1.0,,,Elke Lorenz,Fraunhofer ISE,,,,
TNG00017,,Aitrach,Aitrach,,,601.0,,,Aitrach,Germany,,,,,,,,1.0,,,Elke Lorenz,Fraunhofer ISE,,,,
TNG00018,,Neusass,Neusass,,,441.0,,,Neusass,Germany,,,,,,,,1.0,,,Elke Lorenz,Fraunhofer ISE,,,,
TNG00019,,Tuttlingen,Tuttlingen,,,649.0,,,Tuttlingen,Germany,,,,,,,,1.0,,,Elke Lorenz,Fraunhofer ISE,,,,
TNG00020,,Hechingen,Hechingen,,,490.0,,,Hechingen,Germany,,,,,,,,1.0,,,Elke Lorenz,Fraunhofer ISE,,,,
TNG00021,,Leutkirch,Leutkirch,,,648.0,,,Leutkirch,Germany,,,,,,,,1.0,,,Elke Lorenz,Fraunhofer ISE,,,,
