ID,WMOID,FullName,ShortName,Latitude,Longitude,Elevation,Timezone,Address,City,Country,SurfaceType,TopographyType,RuralUrban,KoeppenGeigerClimate,StationType,OperationStatus,DiffusionStatus,TimeResolution,StartDate,EndDate,ContactName,Institute,Url,CommissionDate,DecommissionDate,Comment
BMS,,NREL Solar Radiation Research Laboratory - Baseline Measurement System,BMS,,,1828.8,UTC+00:00,,,,,,,,,,,,,,,,,29782.0,,
LMU,,SOLRMAP Loyola Marymount University (RSR),LMU,,,27.0,UTC-08:00,,,,,,,,,,,,,,,,,40274.0,42495.0,
NWTC,,NREL Flatirons Campus (M2),NWTC,,,1855.0,UTC-07:00,,,,,,,,,,,,,,,,,35331.0,,
STAC,,Solar Technology Acceleration Center (SolarTAC),STAC,,,1674.0,UTC-07:00,,,,,,,,,,,,,,,,,40585.0,,
UAT,,SOLRMAP University of Arizona (OASIS),UAT,,,786.0,UTC-07:00,,,,,,,,,,,,,,,,,40485.0,,
ULL,,University of Louisiana at Lafayette,ULL,,,5.0,UTC-06:00,,,,,,,,,,,,,,,,,43340.0,,
UOSMRL,,University of Oregon (SRML),UOSMRL,,,133.8,UTC-08:00,,,,,,,,,,,,,,,,,42601.0,,
VTIF,,NREL Vehicle Testing and Integration Facility RSR,VTIF,,,1793.0,UTC-07:00,,,,,,,,,,,,,,,,,41000.0,44030.0,
SSSCAT,,SOLRMAP Southwest Solar Research Park,SSSCAT,,,347.0,UTC-07:00,,,,,,,,,,,,,,,,,40448.0,41488.0,
LANAI,,SOLRMAP La Ola Lanai (RSR),LANAI,,,381.0,UTC-10:00,,,,,,,,,,,,,,,,,40016.0,41257.0,
OAHURS1M,,SOLRMAP Kalaeloa Oahu (RSR),OAHURS1M,,,11.0,UTC-10:00,,,,,,,,,,,,,,,,,40253.0,40848.0,
TSESC,,SOLRMAP Tri-State Escalante (RSR),TSESC,,,2106.0,UTC-07:00,,,,,,,,,,,,,,,,,40485.0,41618.0,
USEPCC,,SOLRMAP Utah Geological Survey - State Energy Program (Cedar City),USEPCC,,,1675.0,UTC-07:00,,,,,,,,,,,,,,,,,40372.0,41535.0,
USEPMF,,SOLRMAP Utah Geological Survey - State Energy Program (Milford),USEPMF,,,1550.0,UTC-07:00,,,,,,,,,,,,,,,,,40373.0,41535.0,
SS2,,SOLRMAP Sun Spot Two - Swink (RSR),SS2,,,1255.0,UTC-07:00,,,,,,,,,,,,,,,,,40492.0,42045.0,
SS1,,Sun Spot One - San Luis Valley (RSR),SS1,,,2335.0,UTC-08:00,,,,,,,,,,,,,,,,,39609.0,40490.0,
NPC,,Nevada Power Clark Station,NPC,,,523.0,UTC-08:00,,,,,,,,,,,,,,,,,38803.0,42066.0,
UNLV,,University of Nevada - Las Vegas,UNLV,,,615.0,UTC-08:00,,,,,,,,,,,,,,,,,38794.0,,
LRSS,,Lowry Range Solar Station (RSR),LRSS,,,1860.0,UTC-07:00,,,,,,,,,,,,,,,,,39598.0,41669.0,
XECS,,Xcel Energy Comanche Station (RSR),XECS,,,1490.0,UTC-07:00,,,,,,,,,,,,,,,,,39253.0,40710.0,
ORNL,,Oak Ridge National Laboratory (RSR),ORNL,,,245.0,UTC-05:00,,,,,,,,,,,,,,,,,39337.0,43789.0,
USVIBOVB,,US Virgin Islands St. Thomas Bovoni,USVIBOVB,,,49.0,UTC-04:00,,,,,,,,,,,,,,,,,41256.0,41876.0,
USVILONA,,US Virgin Islands St. Croix Longford,USVILONA,,,29.0,UTC-04:00,,,,,,,,,,,,,,,,,41256.0,41628.0,
NELHA,,Natural Energy Laboratory of Hawaii Authority (NELHA),NELHA,,,4.0,UTC-10:00,,,,,,,,,,,,,,,,,41214.0,,
SMUDA,,Sacramento Municipal Utility District (Anatolia),SMUDA,,,51.0,UTC-08:00,,,,,,,,,,,,,,,,,39847.0,42117.0,
UTPASRL,,University of Texas Panamerican Solar Radiation Lab,UTPASRL,,,34.4,UTC-06:00,,,,,,,,,,,,,,,,,40787.0,,
HSU,,Humboldt State University (SoRMS),HSU,,,36.0,UTC-08:00,,,,,,,,,,,,,,,,,39204.0,,
EC,,Elizabeth City State University,EC,,,26.0,UTC-05:00,,,,,,,,,,,,,,,,,31315.0,41962.0,
BS,,Bluefield State College,BS,,,803.0,UTC-05:00,,,,,,,,,,,,,,,,,31357.0,42107.0,
SPMD,,South Park Mountain Data,SPMD,,,2944.0,UTC-07:00,,,,,,,,,,,,,,,,,35517.0,44301.0,
SCI,,San Clemente Island Data,SCI,,,223.0,UTC-08:00,,,,,,,,,,,,,,,,,36526.0,38550.0,
LLLJP,,Lamar Low-Level Jet Project,LLLJP,,,1387.0,UTC-07:00,,,,,,,,,,,,,,,,,37166.0,38494.0,
RCS,,ARM Radiometer Characterization System (RCS),RCS,,,320.0,UTC-08:00,,,,,,,,,,,,,,,,,37634.0,38163.0,
