ID,WMOID,FullName,ShortName,Latitude,Longitude,Elevation,Timezone,Address,City,Country,SurfaceType,TopographyType,RuralUrban,KoeppenGeigerClimate,StationType,OperationStatus,DiffusionStatus,TimeResolution,StartDate,EndDate,ContactName,Institute,Url,CommissionDate,DecommissionDate,Comment,DoUpdate,DNI,DHI,GHI
KZH,,University of KwaZulu-Natal Howard College,KZH,,,150.0,,,,,,Roof of Desmond Clarence building,,,,permanently offline,,,42345.0,73893.0,,,,,,,1.0,CHP1SlrW_Avg,CMP11_1SlrW_Avg,CMP11_2SlrW_Avg
KZW,,University of KwaZulu-Natal Westville,KZW,,,200.0,,,,,,Roof of Physics building,,,,permanently offline,,,42346.0,43897.0,,,,,,,0.0,TrackerWM_Avg,ShadowWM_Avg,SunWM_Avg
SUN,,Stellenbosch University,SUN,,,119.0,,,,,,Roof of Engineering building,,,,permanently offline,,,40323.0,44341.0,,,,,,,1.0,TrackerWM_Avg,ShadowWM_Avg,SunWM_Avg
UPR,,GIZ University of Pretoria,UPR,,,1410.0,,,,,,Roof of university building,,,,,,,41537.0,44341.0,,,,,,,1.0,DNI_Avg,DIF_Avg,GHI_Avg
VAN,,GIZ Vanrhynsdorp,VAN,,,130.0,,,,,,Inside enclosure on rural farmland,,,,permanently offline,,,42609.0,43656.0,,,,,,,0.0,DNI_Avg,DIF_Avg,GHI_Avg
UFS,,GIZ University of Free State,UFS,,,1491.0,,,,,,Roof of Physics building,,,,permanently offline,,,41656.0,42975.0,,,,,,,0.0,DNI_Avg,DIF_Avg,GHI_Avg
GRT,,GIZ Graaff-Reinet,GRT,,,660.0,,,,,,Inside enclosure on rural farmland,,,,permanently offline,,,41606.0,42393.0,,,,,,,0.0,DNI_Avg,DIF_Avg,GHI_Avg
NMU,,Nelson Mandela University,NMU,,,35.0,,,,,,Roof of Solar Outdoor Research Facility,,,,permanently offline,,,42347.0,44341.0,,,,,,,0.0,CHP1SlrW_Avg,CMP11_1SlrW_Avg,CMP11_2SlrW_Avg
RVD,,GIZ Richtersveld,RVD,,,141.0,,,,,,Inside enclosure in desert region,,,,,,,41726.0,44341.0,,,,,,,1.0,DNI_Avg,DIF_Avg,GHI_Avg
STA,,Mangosuthu University of Technology,STA,,,95.0,,,,,,Roof of lecture complex,,,,permanently offline,,,42346.0,44305.0,,,,,,,1.0,MUT_DNI_NIP_31955E6_W_Avg,MUT_DHI_PSP_34332F3_W_Avg,MUT_GHI_PSP_34331F3_W_Avg
UBG,,USAid Gaborone,UBG,,,1014.0,,,,,,Roof of building in University of Botswana,,,,permanently offline,,,41970.0,44016.0,,,,,,,0.0,DNI_Avg,DIF_Avg,GHI_Avg
UNV,,USAid Venda,UNV,,,628.0,,,,,,Vuwani Science Research Centre,,,,,,,42118.0,44341.0,,,,,,,1.0,DNI_Avg,DIF_Avg,GHI_Avg
UNZ,,University of Zululand,UNZ,,,90.0,,,,,,Roof of university building,,,,,,,41572.0,43899.0,,,,,,,0.0,DNI_Avg,DIF_Avg,GHI_Avg
NUST,,USAid Namibian University of Science and Technology,NUST,,,1683.0,,,,,,Roof of Engineering Building,,,,,,,42594.0,44342.0,,,,,,,1.0,DNI_Avg,DIF_Avg,GHI_Avg
FRH,,USAid University of Fort Hare,FRH,,,540.0,,,,,,Roof of Zoology Department,,,,permanently offline,,,42775.0,44341.0,,,,,,,1.0,DNI_Avg,DIF_Avg,GHI_Avg
MRB,,GIZ Murraysburg,MRB,,,1548.0,,,,,,Inside enclosure on rural farmland,,,,permanently offline,,,42812.0,43760.0,,,,,,,0.0,DNI_Avg,DIF_Avg,GHI_Avg
HLO,,Mariendal,HLO,,,178.0,,,,,,Installed on a container,,,,permanently offline,,,42286.0,44131.0,,,,,,,0.0,DNI_Avg,DIF_Avg,GHI1_Avg
SALT,,Eskom Sutherland SALT,SALT,,,1761.0,,,,,,Karoo scrubland,,,,permanently offline,,,42936.0,44187.0,,,,,,,0.0,Sol_Direct_Avg,Sol_Global2_Avg,Sol_Global1_Avg
CSIR,,CSIR Energy Centre,CSIR,,,1400.0,,,,,,Roof of building,,,,,,,42806.0,44336.0,,,,,,,1.0,DNI_Avg,DIF_Avg,GHI_Avg
ELA,,Mintek Elandsfontein,ELA,,,1629.0,,,,,,Inside enclosure on rural farmland,,,,,,,43699.0,44341.0,,,,,,,1.0,DNI_Avg,DIF_Avg,GHI_Avg
CUT,,Central University of Technology,CUT,,,1397.0,,,,,,Roof of the Engineering building,,,,temporary offline,,,43033.0,44299.0,,,,,,,1.0,DNI_Avg,DIF_Avg,GHI_Avg
